timestamp,timeframe,signal,buy,sell,neutral,error
2026-01-04T22:54:19.373527,1 Minute,SELL,5.0,15.0,6.0,
2026-01-04T22:54:19.373527,5 Minutes,SELL,2.0,14.0,10.0,
2026-01-04T22:54:19.373527,15 Minutes,SELL,5.0,12.0,9.0,
2026-01-04T22:54:19.373527,30 Minutes,NEUTRAL,9.0,7.0,10.0,
2026-01-04T22:54:19.373527,1 Hour,BUY,12.0,4.0,10.0,
2026-01-04T22:54:19.373527,2 Hour,BUY,14.0,5.0,7.0,
2026-01-04T22:54:19.373527,4 Hour,BUY,14.0,5.0,7.0,
2026-01-04T22:54:19.373527,1 Day,BUY,12.0,6.0,8.0,
2026-01-04T22:54:19.373527,1 Week,SELL,7.0,11.0,8.0,
2026-01-04T23:40:41.180303,1 Minute,SELL,4.0,15.0,7.0,
2026-01-04T23:40:41.180303,5 Minutes,SELL,5.0,14.0,7.0,
2026-01-04T23:40:41.180303,15 Minutes,SELL,5.0,12.0,9.0,
2026-01-04T23:40:41.180303,30 Minutes,NEUTRAL,7.0,9.0,10.0,
2026-01-04T23:40:41.180303,1 Hour,BUY,11.0,5.0,10.0,
2026-01-04T23:40:41.180303,2 Hour,BUY,14.0,2.0,10.0,
2026-01-04T23:40:41.180303,4 Hour,BUY,14.0,6.0,6.0,
